"","listing_id","03","04","05","06","07","09","10","12","08","11"
"247",871387,11,27,5,21,5,20,24,26,NA,NA
"248",874029,17,30,31,30,31,17,NA,5,31,NA
"249",874273,6,20,19,20,10,11,22,15,NA,NA
"250",874641,17,29,27,30,31,6,NA,NA,31,NA
"251",874842,NA,NA,NA,NA,NA,24,31,22,NA,30
"252",886019,17,30,31,30,31,30,31,31,31,30
"253",888289,4,NA,NA,2,9,29,29,31,NA,30
"254",891924,17,28,23,28,29,6,NA,NA,31,NA
"255",891946,17,30,31,30,31,29,31,31,31,30
"256",892453,17,30,31,30,31,29,31,31,31,30
"257",893195,15,22,24,27,24,29,30,NA,NA,NA
"258",896209,16,25,20,23,24,26,27,23,24,16
"259",903707,12,30,28,26,31,22,31,31,20,30
"260",904741,14,23,25,28,24,25,28,24,17,30
"261",904769,16,28,25,22,23,26,28,15,3,30
"262",904775,13,27,22,25,18,20,25,21,11,30
"263",907386,17,30,28,29,27,28,31,21,19,19
"264",913536,17,30,31,30,31,29,31,31,31,30
"265",914057,17,22,22,21,19,23,20,NA,6,6
"266",923140,17,23,20,29,25,15,17,25,NA,NA
"267",923645,NA,NA,NA,21,31,30,31,31,31,30
"268",925250,12,17,31,25,24,23,22,NA,25,11
"269",925339,15,21,22,25,10,29,31,23,NA,30
"270",926653,14,16,NA,15,4,25,23,NA,NA,NA
"271",933326,17,30,31,30,31,29,31,31,31,30
"272",938410,7,17,1,16,14,19,31,5,NA,8
"273",940649,17,30,31,30,31,29,31,31,31,30
"274",948141,NA,NA,NA,21,20,20,27,NA,NA,11
"275",948963,17,30,31,30,31,29,31,31,31,30
"276",958020,11,10,10,14,11,14,15,6,10,19
"277",961181,1,30,31,25,NA,NA,NA,NA,NA,NA
"278",970890,17,30,31,30,31,6,NA,NA,31,NA
"279",979312,17,30,31,30,31,29,31,31,31,30
"280",981016,7,17,3,7,2,7,6,31,NA,NA
"281",982997,17,30,31,30,31,6,NA,NA,31,NA
"282",983019,17,25,31,26,9,30,31,31,NA,29
"283",983410,2,14,9,11,10,17,13,NA,NA,10
"284",989063,NA,NA,NA,NA,NA,23,31,31,NA,30
"285",1003602,17,23,8,16,NA,10,17,NA,NA,NA
"286",1007532,4,6,NA,9,NA,NA,NA,NA,NA,NA
"287",1026242,17,30,31,9,NA,NA,NA,NA,NA,NA
"288",1037715,NA,NA,NA,NA,NA,NA,NA,25,NA,NA
"289",1038867,17,30,31,30,31,6,NA,NA,31,NA
"290",1039454,NA,NA,NA,21,31,30,31,31,31,30
"291",1044902,17,30,31,30,31,29,31,31,31,30
"292",1050948,6,28,12,23,11,NA,NA,NA,NA,NA
"293",1053180,8,27,19,26,21,15,27,12,8,7
"294",1053662,16,21,NA,18,10,23,23,25,24,16
"295",1055724,17,26,31,30,31,30,27,31,31,29
"296",1057560,17,30,31,28,30,24,29,21,23,24
"297",1059084,15,30,27,28,11,17,24,6,27,3
"298",1065075,7,NA,NA,7,NA,7,NA,NA,NA,NA
"299",1065714,7,14,6,NA,NA,NA,NA,NA,NA,NA
"300",1065918,8,11,1,13,4,2,NA,NA,2,NA
"301",1067941,1,8,4,6,1,NA,5,NA,NA,2
"302",1069174,8,13,15,11,6,7,5,NA,NA,NA
"303",1079119,9,11,NA,15,8,24,8,NA,NA,NA
"304",1079722,15,3,7,19,4,NA,NA,NA,19,NA
"305",1082218,17,27,31,9,NA,NA,NA,NA,NA,NA
"306",1082942,16,27,31,30,27,29,30,16,23,29
"307",1085217,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"308",1085898,17,22,25,21,NA,17,21,24,NA,29
"309",1086060,15,22,31,24,22,25,31,21,31,1
"310",1086124,14,21,31,20,31,19,20,20,31,NA
"311",1087049,17,21,31,22,13,17,21,23,NA,30
"312",1090988,17,30,31,9,NA,NA,NA,NA,NA,NA
"313",1092467,NA,NA,NA,21,27,24,31,NA,5,9
"314",1092967,14,24,NA,1,NA,19,NA,NA,NA,NA
"315",1106495,13,16,7,NA,NA,20,4,NA,NA,NA
"316",1112289,17,30,30,22,18,27,31,27,NA,21
"317",1113817,17,30,31,30,31,29,18,10,31,18
"318",1121429,9,28,31,25,10,24,31,31,31,30
"319",1126038,17,30,31,9,31,30,31,31,21,30
"320",1130775,17,29,31,30,31,30,31,31,31,30
"321",1130788,17,30,31,30,31,29,31,31,31,30
